Result,Name,Title,Experience,Link,Reason
PASS,유OO,브라이트벨크리에이티브그룹 DX팀 과장(선임연구원),10년9개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=15491408,"후보자는 10년 이상의 경력을 보유하고 있으며, 서울 지역에서 근무를 희망하고 대졸 학력을 갖추고 있습니다."
PASS,최OO,레몬헬스케어 DevOps 대리(주임연구원),9년10개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=19672125,"QA 경력 9년으로 요구 사항을 초과하며, 대졸 이상의 학력을 보유하고 있습니다."
PASS,박OO,에스에스오트론㈜ * 반도체 장비 & 시스템 개발 부장(연구소장),20년2개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=8497183,"후보자는 20년 이상의 경력을 보유하고 있으며, 대졸 이상의 학력을 가지고 있고, QA 관련 경험이 포함되어 있습니다."
PASS,오OO,OO(비공개) VD 사업부 Display 개발실 임원,31년9개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=19966134,"후보자는 31년 9개월의 QA 경력을 보유하고 있으며, 대졸 이상의 학력을 가지고 있어 요구 사항을 충족합니다."
FAIL,김OO,인팩이피엠 주식회사 선행품질 대리(주임연구원),4년,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=18664321,"QA 경력이 4년으로 5년 이상이 아니며, 희망 근무지가 전국으로 서울 지역이 아님."
FAIL,이OO,인텔릭스 연구소 과장(선임연구원),23년5개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=5619824,"학력이 대졸 이상이 아니며, QA 경력이 명시되어 있지 않습니다."
FAIL,박OO,OO(비공개) SM,8년8개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=4078843,"QA 경력이 부족하며, 희망 근무지가 서울지역이지만 인천과 경기 부천도 포함되어 있습니다."
FAIL,이OO,OO(비공개) AVN 테스트 사원(연구원),3년6개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=27877424,"QA 경력이 5년 이상이 아니며, 학력이 대졸 이상이 아닙니다."
FAIL,임OO,OO(비공개) MD기획팀 부장(연구소장),22년1개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=3351078,"QA 경력이 없고, 학력은 대졸이나 서울지역 근무 희망이 확인되지 않음."
FAIL,백OO,주식회사킴 융합기술팀,19년1개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=30032923,지원자는 QA 경력이 5년 이상이지만 희망 근무지가 서울이 아닌 경남 지역입니다.
FAIL,이OO,고기앤고기 축산관리팀,17년8개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=4835486,"QA 경력이 없고, 학력이 대졸이 아닌 전문대졸이며, 서울 지역 근무 희망이 명시되지 않았습니다."
FAIL,김OO,"대구미래대학(2,3년) 자동차과(2년제)학과 졸업",4년,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=30033748,"지원자는 QA 경력이 없고, 학력이 대졸 이상이 아니며, 희망 근무지가 서울이 아닙니다."
FAIL,박OO,(주)세신산업 영업팀 임원,25년4개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=6222900,"학력이 대졸 이상이 아니며, QA 경력이 없습니다."
FAIL,조OO,OO(비공개) 마케팅 과장(선임연구원),9년2개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=16253331,"QA 경력이 없으며, 마케팅 관련 경력만 보유하고 있습니다."
FAIL,김OO,케이원피에스 경영지원팀 과장(선임연구원),14년8개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=18289882,"QA 경력이 부족하며, 경력 5년 이상이 요구되지만 2년 9개월의 경력만 보유하고 있습니다."
FAIL,고OO,프라디지컴 개발부 과장(선임연구원),17년6개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=18391468,"QA 경력이 없으며, 지원자는 임베디드 시스템 및 소프트웨어 개발에 주로 경력을 쌓았습니다."
FAIL,김OO,OO(비공개) 영업부 과장(선임연구원),18년6개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=8715337,"지원자는 QA 경력이 없고, 학력이 대졸이 아닌 중퇴로 요구사항을 충족하지 않습니다."
FAIL,손OO,경기대학교 (수원)(4년) 식품생물공학전공 졸업예정,4년,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=30033624,"지원자는 QA 경력이 없고, 신입으로 경력 요건을 충족하지 못합니다."
FAIL,이OO,아이디노 경영기획본부 부장(연구소장),25년9개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=5108911,"지원자는 QA 경력이 없으며, 경력 대부분이 경영기획 및 재무 관련 직무에 집중되어 있습니다."
FAIL,정OO,미래지기 개발팀 임원,27년10개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=25849318,"지원자는 QA 경력이 없으며, 학력은 고등학교 졸업으로 대졸 이상 요건을 충족하지 못합니다."
FAIL,남OO,스파크엑스 교육사업부,22년,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=29904422,"QA 경력이 없으며, 5년 이상의 QA 경력을 요구하는 직무에 적합하지 않습니다."
FAIL,권OO,다원엔지니어링 근무,31년10개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=3709159,"QA 경력이 없고, 희망 근무지가 전국으로 되어 있어 서울 지역에 맞지 않습니다."
FAIL,도OO,한텍 기술영업2팀 부장(연구소장),26년2개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=18140039,"QA 경력이 없고, 경력 대부분이 기술영업 및 시스템 설계에 집중되어 있어 요구사항을 충족하지 못합니다."
FAIL,김OO,베바스토코리아홀딩스 연구개발 사원(연구원),4년8개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=17858698,"QA 경력이 5년 이상이 아니며, 총 경력은 4년 8개월입니다."
FAIL,김OO,클라우드나인마케팅 영업2팀 과장(선임연구원),20년6개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=2502284,"QA 경력이 없고, 학력이 고등학교 졸업으로 대졸 이상 요건을 충족하지 못합니다."
FAIL,조OO,컬리 상품운영관리팀 주임/계장(연구원),6년11개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=25879751,"QA 경력이 부족하며, 지원자는 6년 11개월의 경력을 가지고 있지만 QA 관련 경험이 없습니다."
FAIL,정OO,아침 국내영업 과장(선임연구원),11년2개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=10636507,"QA 경력이 없으며, 서울 지역에서의 근무 희망이 확인되지 않았습니다."
FAIL,강OO,상명대학교(4년) 커뮤니케이션디자인과학과 졸업예정,4년,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=25536187,"지원자는 QA 경력이 없고, 학력도 대졸이 아닌 졸업 예정 상태입니다."
FAIL,한OO,㈜사우스스프링스 식음팀 과장(선임연구원),16년1개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=4540986,"지원자는 QA 경력이 없으며, 희망 근무지가 서울이 아닌 전국으로 기재되어 있습니다."
